20230526-194506,81
20230526-194506,81
20230526-194507,81
20230526-194507,80
20230526-194507,81
20230526-194507,80
20230526-194507,80
20230526-194507,79
20230526-194507,81
20230526-194507,80
20230526-194507,81
20230526-194507,81
20230526-194507,81
20230526-194508,81
20230526-194508,81
20230526-194508,80
20230526-194508,80
20230526-194508,80
20230526-194508,80
20230526-194508,81
20230526-194508,81
20230526-194508,81
20230526-194509,81
20230526-194509,81
20230526-194509,81
20230526-194509,82
20230526-194509,82
20230526-194509,84
20230526-194509,85
20230526-194509,85
20230526-194509,84
20230526-194510,85
20230526-194510,86
20230526-194510,86
20230526-194510,84
20230526-194510,86
20230526-194510,84
20230526-194510,84
20230526-194510,83
20230526-194510,82
20230526-194510,79
20230526-194510,77
20230526-194511,75
20230526-194511,75
20230526-194511,74
20230526-194511,76
20230526-194511,75
20230526-194511,76
20230526-194511,77
20230526-194511,77
20230526-194511,78
20230526-194511,73
20230526-194512,72
20230526-194512,73
20230526-194512,73
20230526-194512,72
20230526-194512,70
20230526-194512,71
20230526-194512,72
20230526-194512,72
20230526-194512,71
20230526-194512,72
20230526-194513,73
20230526-194513,73
20230526-194513,73
20230526-194513,73
20230526-194513,70
20230526-194513,71
20230526-194513,69
20230526-194513,66
20230526-194513,65
20230526-194514,63
20230526-194514,57
20230526-194514,40
20230526-194514,33
20230526-194514,25
20230526-194514,21
20230526-194514,20
20230526-194514,17
20230526-194514,2
20230526-194514,0
20230526-194514,0
20230526-194515,0
20230526-194515,0
20230526-194515,0
20230526-194515,0
20230526-194515,0
20230526-194515,0
20230526-194515,0
20230526-194515,0
20230526-194515,0
20230526-194516,0
20230526-194516,0
20230526-194516,4
20230526-194516,16
20230526-194516,26
20230526-194516,29
20230526-194516,33
20230526-194516,37
20230526-194516,47
20230526-194516,64
20230526-194517,68
20230526-194517,73
20230526-194517,75
20230526-194517,76
20230526-194517,77
20230526-194517,77
20230526-194517,77
20230526-194517,77
20230526-194517,76
20230526-194517,74
20230526-194518,72
20230526-194518,74
20230526-194518,74
20230526-194518,75
20230526-194518,74
20230526-194518,73
20230526-194518,73
20230526-194518,70
20230526-194518,68
20230526-194518,66
20230526-194519,62
20230526-194519,64
20230526-194519,63
20230526-194519,63
20230526-194519,61
20230526-194519,60
20230526-194519,59
20230526-194519,60
20230526-194519,60
20230526-194519,62
20230526-194520,63
20230526-194520,64
20230526-194520,67
20230526-194520,68
20230526-194520,71
20230526-194520,71
20230526-194520,72
20230526-194520,73
20230526-194520,73
20230526-194520,73
20230526-194521,71
20230526-194521,70
20230526-194521,69
20230526-194521,73
20230526-194521,73
20230526-194521,73
20230526-194521,73
20230526-194521,73
20230526-194521,73
20230526-194521,72
20230526-194522,72
